type,event,year,abbreviation,nameEn,nameFr,address,representative,comments,source1,source2,officeType,currentStateName,previousStateName
NGO,,1963,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"3, rue Adrien Lachenal",PR - Jean Slavaj (new appointment),,https://archives.ungeneva.org/ngos-boy-scout-world-bureau-bureau-mondial-du-scoutisme/download?token=a62c1580595357290acb6cdaab7f8fc97a8b7b9056d703a3e303c6a606b48768,https://archives.ungeneva.org/passes-and-visas-for-non-governmental-organizations/download?token=66c6814d18c1c5bef9e3ebb4d74a30a11eac48848aa155267bde4387da7a5dde,card UNOG,,
NGO,,1965,,Boy Scouts World Bureau,Bureau mondial du scoutisme,Lausanne,PR,,https://archives.ungeneva.org/ngos-boy-scout-world-bureau-bureau-mondial-du-scoutisme/download?token=a62c1580595357290acb6cdaab7f8fc97a8b7b9056d703a3e303c6a606b48769,,,,
NGO,,1968,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"72, Boulevard Saint-Georges",,,https://archives.ungeneva.org/ngos-boy-scout-world-bureau-bureau-mondial-du-scoutisme/download?token=a62c1580595357290acb6cdaab7f8fc97a8b7b9056d703a3e303c6a606b48770,,HD in Gva,,
NGO,,1969,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"72, Boulevard Saint-Georges",,,https://archives.ungeneva.org/ngos-boy-scout-world-bureau-bureau-mondial-du-scoutisme/download?token=a62c1580595357290acb6cdaab7f8fc97a8b7b9056d703a3e303c6a606b48771,,,,
NGO,,1970,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"5, rue du Pré-Jérome",,,YB1970-71,,,,
NGO,,1971,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"5, rue du Pré-Jérome",,,https://archives.ungeneva.org/ngos-boy-scout-world-bureau-bureau-mondial-du-scoutisme/download?token=c5f0cad59b4975ccbebb51879ad3a531e2ee5fb874c324ae45d728469bbd88c6,,,,
NGO,,1972,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"5, rue du Pré-Jérome",,,https://archives.ungeneva.org/ngos-boy-scout-world-bureau-bureau-mondial-du-scoutisme/download?token=c5f0cad59b4975ccbebb51879ad3a531e2ee5fb874c324ae45d728469bbd88c6,,,,
NGO,,1973,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"5, rue du Pré-Jérome",,,no,,,,
NGO,,1974,,Boy Scouts World Bureau,Bureau mondial du scoutisme,"5, rue du Pré-Jérome",,,YB1974,,,,
NGO,,1970,,Brothers to All Men ,,"9, rue du Clos",,,YB1970-71,,National Sec,,
NGO,,1964,,Battelle Memorial Institute,,Route de Drize,,,YB1964-65,,International Division,,
NGO,,1954,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace/download?token=536a818d360fc98b18b464c6c7f6def9819e9a8bb1bfa23ba39a929fa520bbae,,,,
NGO,,1955,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace/download?token=536a818d360fc98b18b464c6c7f6def9819e9a8bb1bfa23ba39a929fa520bbae,,,,
NGO,,1956,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace/download?token=536a818d360fc98b18b464c6c7f6def9819e9a8bb1bfa23ba39a929fa520bbae,,,,
NGO,,1957,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace/download?token=536a818d360fc98b18b464c6c7f6def9819e9a8bb1bfa23ba39a929fa520bbae,,,,
NGO,,1958,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,YB1958-59,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace/download?token=536a818d360fc98b18b464c6c7f6def9819e9a8bb1bfa23ba39a929fa520bbae,,,
NGO,,1959,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,no,,,,
NGO,,1960,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,no,,,,
NGO,,1961,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,no,,,,
NGO,,1962,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,no,,,,
NGO,,1963,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace/download?token=536a818d360fc98b18b464c6c7f6def9819e9a8bb1bfa23ba39a929fa520bbae,,,,
NGO,,1964,,Carnegie Endowment for International Peace,*,"172, route de Ferney",,,YB1964-65,,European Centre,,
NGO,,1967,,Carnegie Endowment for International Peace,*,"58, rue de Moillebeau",,,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace/download?token=536a818d360fc98b18b464c6c7f6def9819e9a8bb1bfa23ba39a929fa520bbae,,,,
NGO,,1968,,Carnegie Endowment for International Peace,*,"58, rue de Moillebeau",,,https://archives.ungeneva.org/correspondence-with-carnegie-endowment-for-international-peace-2/download?token=ba9d18c0a3bd5113c6c69da1cc6bd0bec5fd6802e2bb0bbea17a9c888d973518,,,,
NGO,,1970,,Carnegie Endowment for International Peace,*,"58, rue de Moillebeau",,,,,,,
NGO,,1970,,Catholic Committee for Intra-European Migration,,"65, rue de Lausanne",,,YB1970-71,,,,
NGO,,1974,,Catholic Committee for Intra-European Migration,,"65, rue de Lausanne",,,YB1974,,,,
NGO,,1970,,Christian Medical Commission,Commission médicale chrétienne,"150, route de Ferney",,Est.1968 by WCC,YB1970-71,,,,
NGO,,1974,,Christian Medical Commission,Commission médicale chrétienne,"150, route de Ferney",,,,,,,
NGO,,1970,,Churches’ Committee on West European Migration,,"150, route de Ferney",,Est.1964 by WCC became independent in 1978,YB1970-71,,,,
NGO,,1974,,Churches Committee on Migrant Workers in Western Europe,Comité des églises auprès des travailleurs migrants,"150, route de Ferney",,,,,,,
NGO,,1954,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,Est. By the WCC and the International Missionary Council in 1946,https://archives.ungeneva.org/lists-of-non-governmental-organizations/download?token=e58903d4fdb1e566ca5ebaac4a20b344b7f4c2b956d8f6102d69e88bad9e19f9,,,,
NGO,,1955,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,https://archives.ungeneva.org/lists-of-non-governmental-organizations/download?token=e58903d4fdb1e566ca5ebaac4a20b344b7f4c2b956d8f6102d69e88bad9e19f6,,,,
NGO,,1956,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,https://archives.ungeneva.org/correspondence-with-and-concerning-the-commission-of-the-churches-on-international-affairs-of-the-world-council-of-churches-conseil-oecumenique-also-foyer-john-knox-oecumpical-inistitute/download?token=5f080e3ee9bc1c106d03a040d9c1ebcd7f4322bb4824ec891fe1998e73e03653,,,,
NGO,,1957,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,,,,,
NGO,,1958,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,YB1958-59,,,,
NGO,,1959,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,https://archives.ungeneva.org/conferences-of-ngos-conference-des-ngo-dotes-du-statut-consultatif-qui-s-emploient-a-eliminer-les-prejuges-et-la-discrimination-2/download?token=b54290aa6318bac8faf2a7f20a9c55a2e4cd7d60fd0a861c56e8ecee24e27d84,,,,
NGO,,1960,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,no,,,,
NGO,,1961,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,no,,,,
NGO,,1962,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,no,,,,
NGO,,1963,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"17, route de Malagnou",,,https://archives.ungeneva.org/passes-and-visas-for-non-governmental-organizations/download?token=66c6814d18c1c5bef9e3ebb4d74a30a11eac48848aa155267bde4387da7a5dde,,,,
NGO,,1964,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"150, route de Ferney",,,YB1964-65,,,,
NGO,,1965,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"150, route de Ferney",,,https://iheid.webex.com/iheid/j.php?MTID=m968647e7b1375d25a01982aa17b573d3,,,,
NGO,,1966,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"150, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-and-concerning-the-commission-of-the-churches-on-international-affairs-of-the-world-council-of-churches-conseil-oecumenique-also-foyer-john-knox-oecumpical-inistitute/download?token=5f080e3ee9bc1c106d03a040d9c1ebcd7f4322bb4824ec891fe1998e73e03651,,,,
NGO,,1967,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"150, route de Ferney",,,https://archives.ungeneva.org/passes-and-visas-for-non-governmental-organizations/download?token=66c6814d18c1c5bef9e3ebb4d74a30a11eac48848aa155267bde4387da7a5dde,,,,
NGO,,1970,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"150, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-and-concerning-the-commission-of-the-churches-on-international-affairs-of-the-world-council-of-churches-conseil-oecumenique-also-foyer-john-knox-oecumpical-inistitute/download?token=5f080e3ee9bc1c106d03a040d9c1ebcd7f4322bb4824ec891fe1998e73e03652,,,,
NGO,,1971,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"150, route de Ferney",,,https://archives.ungeneva.org/correspondence-with-and-concerning-the-commission-of-the-churches-on-international-affairs-of-the-world-council-of-churches-conseil-oecumenique-also-foyer-john-knox-oecumpical-inistitute/download?token=5f080e3ee9bc1c106d03a040d9c1ebcd7f4322bb4824ec891fe1998e73e03653,,,,
NGO,,1974,,Commission of the Churches on International Affairs,Commission des églises pour les affaires internationales,"150, route de Ferney",,linked to WCC,YB1974,,,,
NGO,,1970,,Committee for Internal Cooperation in Information Retrieval among Examinig Patent Offices,,"32, chemin des Colombettes",,,,,,,
NGO,,1970,,"Committee on Society, Development and Peace of the Roman Catholic Church and the World Council of Churches",,"150, route de Ferney",,,,,,,
NGO,,1958,,Conference of Consultative NGOs,,,,,YB1958-59,,,,
NGO,,1964,,Conference of Consultative NGOs,Conférence des organisations consultatives non-gouvernementales ,"13, rue Calvin",,,YB1964-65,,,,
NGO,,1954,,,Conférence des ONG interessées aux problèmes de Migration,"14, rue de Hollande",,,https://archives.ungeneva.org/lists-of-non-governmental-organizations/download?token=e58903d4fdb1e566ca5ebaac4a20b344b7f4c2b956d8f6102d69e88bad9e19f39,,c/o Service Social international,,
NGO,,1970,,Conference of Non-Governmental Organizations in Consultative Status with ECOSOC,,"78, rue Montchoisy",,,,,,,
NGO,,1974,,Conference of Non-Governmental Organizations in Consultative Status with ECOSOC,,1201 Geneva,,,YB1974,,,,
NGO,,1954,,Information Centre of the International Catholic Organizations,Centre d'information des organisations internationales catholiques,"37, quai Wilson",,,https://archives.ungeneva.org/lists-of-non-governmental-organizations/download?token=e58903d4fdb1e566ca5ebaac4a20b344b7f4c2b956d8f6102d69e88bad9e19f27,,,,
NGO,,1963,,Information Centre of the International Catholic Organizations,Centre d'information des organisations internationales catholiques,,,,https://archives.ungeneva.org/passes-and-visas-for-non-governmental-organizations/download?token=66c6814d18c1c5bef9e3ebb4d74a30a11eac48848aa155267bde4387da7a5dde,,,,
NGO,,1965,,Information Centre of the International Catholic Organizations,Centre d'information des organisations internationales catholiques,,,,https://archives.ungeneva.org/passes-and-visas-for-non-governmental-organizations/download?token=66c6814d18c1c5bef9e3ebb4d74a30a11eac48848aa155267bde4387da7a5dde,,,,
NGO,,1958,,Conference of International Catholic Organizations,Conférence des organisations consultatives non-gouvernementales catholiques,"1, rue Varembé",,,YB1958-59,,Information Centre,,
NGO,,1964,,Conference of International Catholic Organizations,Conférence des organisations consultatives non-gouvernementales catholiques,"1, rue de Varembé",,,YB1964-65,,,,
NGO,,1970,,Conference of International Catholic Organizations,,"1, rue de Varembé",,,YB1970-71,,,,
NGO,,1964,,Conference of European Churches,,"150, route de Ferney",,,YB1964-65,,,,
NGO,,1970,,Conference of European Churches,,"150, route de Ferney",,,YB1970-71,,,,
NGO,,1974,,Conference of European Churches,,"150, route de Ferney",,,YB1974,,,,
NGO,,1958,,Conference of NGOs interested in Migration,,,,,YB1958-59,,,,
NGO,,1958,,Consultative Committee for Reading Facilities for Prisoners of War and Internees,Comité consultatif pour la lecture des prisionniers et internés de guerre,,,,YB1958-59,,,,
NGO,,1964,,Consultative Committee for Reading Facilities for Prisoners of War and Internees,Comité consultatif pour la lecture des prisionniers et internés de guerre,"37, quai Wilson",,,YB1964-65,,c/o YMCA,,
NGO,,1958,,Economic Commission for Europe,,,,,YB1958-59,,,,
NGO,,1964,,Council on World Tensions,Fraternité mondiale,Place des Nations (Centre international),,,YB1964-65,,,,
NGO,,1948,,Ecumenical Church Loan Fund,Fondation œcuménique pour l'aides aux églises,"17, route de Malagnou",,,https://archives.ungeneva.org/correspondence-with-and-concerning-the-commission-of-the-churches-on-international-affairs-of-the-world-council-of-churches-conseil-oecumenique-also-foyer-john-knox-oecumpical-inistitute/download?token=5f080e3ee9bc1c106d03a040d9c1ebcd7f4322bb4824ec891fe1998e73e03653,,,,
NGO,,1958,,European Association of Music Festivals,Association européenne des festivals de musique,,,,YB1958-59,,,,
NGO,,1964,,European Association of Music Festivals,Association européenne des festivals de musique,"122, rue de Lausanne (Villa Moynier)",,,YB1964-65,,,,
NGO,,1970,,European Association of Music Festivals,Association européenne des festivals de musique,"122, rue de Lausanne (Villa Moynier)",,,YB1970-71,,,,
NGO,,1974,,European Association of Music Festivals,,"122, rue de Lausanne (Villa Moynier - Centre européen de culture)",,,YB1974,,,,
NGO,,1974,,"European Association of Music Conservatories, Academies and High Schools",,Place Neuve (Conservatoire),,,YB1974,,,,
NGO,,1974,,European Association of Teachers,,"122, rue de Lausanne (Villa Moynier)",,,YB1974,,,,
NGO,,1948,,European Union of Federalists,Union européenne des fédéralistes,Palais Wilson,,,https://archives.ungeneva.org/conference-of-non-governmental-organizations-session-may-1948-arrangements-and-agenda/download?token=4476b3cbefadf245a1c8bb80d97326b3282065185de92b0962ec9cef6f865cd7,,,,
NGO,,1949,,European Union of Federalists,Union européenne des fédéralistes,Palais Wilson,,,YB1949,,,,
NGO,,1974,,European Bridge League,,"56, route de Vandoeuvres",,,,,,,
NGO,,1949,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",,founded in GVA in 1925,YB1949,,,,
NGO,,1950,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",,ECOSOC consultative,https://digitallibrary.un.org/record/1639611?ln=en&v=pdf,,,,
NGO,,1951,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",,,no,,,,
NGO,,1952,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",,,no,,,,
NGO,,1953,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",,,no,,,,
NGO,,1954,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",,,https://archives.ungeneva.org/lists-of-non-governmental-organizations/download?token=e58903d4fdb1e566ca5ebaac4a20b344b7f4c2b956d8f6102d69e88bad9e19f7,,,,
NGO,,1955,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",,,no,,,,
NGO,,1956,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"37, quai Wilson",moves to Varembé,ECOSOC consultative / moves to Varembé,https://digitallibrary.un.org/record/3812432?ln=en&v=pdf,https://archives.ungeneva.org/correspondence-with-and-concerning-european-broadcasting-union/download?token=a27b194c69be0631bfe985fdb9cc124644e302ef44f13a8a2f5ecc9076fe02ec,,,
NGO,,1957,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,,,,,
NGO,,1958,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,YB1958-59,https://archives.ungeneva.org/correspondence-with-and-concerning-european-broadcasting-union/download?token=a27b194c69be0631bfe985fdb9cc124644e302ef44f13a8a2f5ecc9076fe02ec,,,
NGO,,1959,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1960,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1961,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1962,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1963,EBU,European Broadcasting Union,Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1964,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",Administrative office,,YB1964-65,,,,
NGO,,1965,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1966,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1967,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1968,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1969,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,no,,,,
NGO,,1970,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,YB1970-71,,,,
NGO,,1971,EBU,European Broadcasting Union (Eurovision),Union européenne de radiodiffusion,"1, rue de Varembé (Centre international)",,,https://archives.ungeneva.org/correspondence-with-and-concerning-european-broadcasting-union/download?token=a27b194c69be0631bfe985fdb9cc124644e302ef44f13a8a2f5ecc9076fe02ec,,,,
NGO,,1964,ECMA,European Computer Manufacturers Association,,"11, rue d'Italie",,,YB1964-65,,,,
NGO,,1970,ECMA,European Computer Manufacturers Association,,"114, rue du Rhône",,,YB1970-71,,,,
NGO,,1974,ECMA,European Computer Manufacturers Association,,"114, rue du Rhône",,,YB1974,,,,
NGO,,1994,ECMA,European Computer Manufacturers Association,,,,becomes ECMA International,,,,,
NGO,,2025,ECMA,Ecma International,,"114, rue du Rhône",,,,,,,
NGO,,1950,,,Centre européen de la culture,Palais Wilson?,,,https://www.unige.ch/rougemont/articles/bcec/ddr19580200bcec_p0000,,,,
NGO,,1954,,,Centre européen de la culture,"122, rue de Lausanne (Villa Moynier)",,,https://www.unige.ch/rougemont/articles/bcec/ddr19580200bcec_p0001,,,,
NGO,,1970,,,Centre européen de la culture,"122, rue de Lausanne (Villa Moynier)",,founded in 1950,YB1970-71,,,,
NGO,,1974,,,Centre européen de la culture,"122, rue de Lausanne (Villa Moynier)",,,,,,,
NGO,,1970,UNEUROP,European Economic Association,,"7, avenue Krieg",,,YB1970-71,,,,
NGO,,1974,,European Economic Association,,"7, avenue Krieg",,,YB1974,,,,
NGO,,1964,,European Institute for the Study of Industrial Fibres,,"40, rue du Stand",,,YB1964-65,,,,
NGO,,1970,,European Institute for the Study of Industrial Fibres,,"40, rue du Stand",,,YB1970-71,,,,
NGO,,1970,,European Liaison Committee of Physician-interpreters,,"6, place de la Taconnerie",,,YB1970-71,,,,
NGO,,1958,,European Cultural Committee,,,,,YB1958-59,,,,
NGO,,1958,ORCA,European Organisation for Research on Fluorine and Dental Caries Prevention,,"18, passage du Terraillet",President,,YB1958-59,,,,
NGO,,1964,,European Organisation for Research on Fluorine and Dental Caries Prevention,,"18, passage du Terraillet",Sec-Gen,,YB1964-65,,,,
NGO,,1970,,European Organisation for Caries Research,,"18, passage du Terraillet",,,YB1970-71,,,,
NGO,,1974,,European Physical Society,,Petit Lancy,,,YB1974,,,,
NGO,,1974,,European Scientific Association of Applied Economics ,,"6, rue de Saussure (UNIGE)",,,YB1974,,,,
NGO,,1970,,European Psychoanalysis Federation,,"2, rue Tertasse",,,YB1970-71,,,,
NGO,,1948,,Ecumenical Institute,,Château de Bossey,,,https://archives.ungeneva.org/correspondence-with-and-concerning-the-commission-of-the-churches-on-international-affairs-of-the-world-council-of-churches-conseil-oecumenique-also-foyer-john-knox-oecumpical-inistitute/download?token=5f080e3ee9bc1c106d03a040d9c1ebcd7f4322bb4824ec891fe1998e73e03653,,,,
NGO,,1964,,Federation of International Civil Servants' Associations,Fédération des associations des fonctionnaires internationaux,ILO,,,YB1964-65,,,,
NGO,,1970,,Federation of International Civil Servants' Associations,,"63, rue de Lausanne",,,YB1970-71,,,,
NGO,,1974,,Federation of International Civil Servants' Associations,,Palais des Nations,,,YB1974,,,,
NGO,,1970,,Association of Former International Civil Servants,,"65, rue de Lausanne (UN annexe)",,,YB1970-71,,,,
NGO,,1974,,Association of Former International Civil Servants,,Palais des Nations,,,,,,,
NGO,,1949,FIIG,Federation of Semi-official and Private International Organisations in Geneva,Fédération des institutions internationales semi-officielles et privées établies à Genève,"37, quai Wilson",,,YB1949,,,,
NGO,,1958,FIIG,Federation of Semi-official and Private International Organisations in Geneva,Fédération des institutions internationales semi-officielles et privées établies à Genève,,,,YB1958-59,,,,
NGO,,1964,FIIG,Federation of Semi-official and Private International Organisations in Geneva,Fédération des institutions internationales semi-officielles et privées établies à Genève,"37, quai Wilson",,,YB1964-65,,,,
