year,filterOrgCategory,filterRegion,filterAffiliation,filterIOType,nameEN,nameFR,addressOSM,addressInfoboxDisplay,locationBuilding,city,country,representativeName,representativeGender,event,note1,note2,source1,source2,photos
1921,Permanent Representation,Southern Europe,,,Albania,Albanie,"1, Quai du Mont-Blanc",,Hôtel de Russie,Genève,Switzerland,Benoit Blinishti,,,"Blinishti is accredited as Permanent Secretary. He later becomes the Director of the Permanent Secretariat of Albania to the League of Nations

Secretariat permanent d'Albanie auprès de la SDN",,https://archives.ungeneva.org/les-communications-entre-le-secretariat-et-le-gouvernement-dalbanie-correspondance-a-ce-sujet/download?token=d70004ead65b18f4c6e9571ccdb53c35a85a427c05213ce6e8f749cbb1a4a94d,https://archives.ungeneva.org/office-circular-contact-between-national-governments-and-the-international-secretariat-list-of-delegations-Appointed-to-conduct-correspondence-etc-with-the-secretariat/download?token=e7c1a46dbac7cfc8701d4c880b2187f9c48e69e1ea387dfc7d0df7d7baf89a40,https://notrehistoire.ch/entries/N7BGxRkz86d
1922,Permanent Representation,Southern Europe,,,Albania,Albanie,"1, Quai du Mont-Blanc",,Hôtel de Russie,Genève,Switzerland,Benoit Blinishti,,,,,https://archives.ungeneva.org/les-communications-entre-le-secretariat-et-le-gouvernement-dalbanie-correspondance-a-ce-sujet/download?token=d70004ead65b18f4c6e9571ccdb53c35a85a427c05213ce6e8f749cbb1a4a94d,,https://notrehistoire.ch/entries/N7BGxRkz86d
1923,Permanent Representation,Southern Europe,,,Albania,Albanie,"1, Quai du Mont-Blanc",,Hôtel de Russie,Genève,Switzerland,Benoit Blinishti,,,,,https://archives.ungeneva.org/les-communications-entre-le-secretariat-et-le-gouvernement-dalbanie-correspondance-a-ce-sujet/download?token=d70004ead65b18f4c6e9571ccdb53c35a85a427c05213ce6e8f749cbb1a4a94d,,https://notrehistoire.ch/entries/N7BGxRkz86d
1924,Permanent Representation,Southern Europe,,,Albania,Albanie,"1, Quai du Mont-Blanc",,Hôtel de Russie,Genève,Switzerland,Benoit Blinishti,,,,,https://archives.ungeneva.org/exemption-des-albanais-en-turquie-de-lechange-des-populations-grecques-et-turques-m-blinishti-delegue-albanais-aupres-de-la-societe-des-nations-cite-un-telegramme-recu-du-ministere-des-affaires-etrangeres-dalbanie-informant-que-la-comm/download?token=6738836a2cbac7ff244bd60eb642b468d153526571771ae75eb2a89b824caeeb,,https://notrehistoire.ch/entries/N7BGxRkz86d
1925,Permanent Representation,Southern Europe,,,Albania,Albanie,"1, Quai du Mont-Blanc",,Hôtel de Russie,Genève,Switzerland,Benoit Blinishti,,representativeChange,,,https://archives.ungeneva.org/les-communications-entre-le-secretariat-et-le-gouvernement-dalbanie-correspondance-a-ce-sujet/download?token=d70004ead65b18f4c6e9571ccdb53c35a85a427c05213ce6e8f749cbb1a4a94d,,
1930,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Lec Kurti,,addressChange,Albania establishes a permanent delegate (by appointment). Lec Kurti was the first permanent delegate.,"in 1930, the PM was temporarily established in the British Pension (26, Boulevard des Philosophes) and then Moved to the permanent address (Hotel La Résidence).",https://archives.ungeneva.org/communications-avec-le-gouvernement-albanais/download,,https://www.bge-geneve.ch/iconographie/oeuvre/jds-01-vgepl-077
1931,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Lec Kurti,,,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-albanais/download?token=4b2f8a857b53cc6c54613e89984cb3dca083bb6e9a311620a21bd451bbc139f7,,photo hotel La Résidence: https://notrehistoire.ch/entries/ELJYMDO5W5R
1932,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Lec Kurti,,,,,,,
1933,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Lec Kurti,,,,,,,
1934,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Lec Kurti,,,,,,,
1935,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Lec Kurti,,,,,https://archives.ungeneva.org/list-of-permanent-representatives-accredited-to-the-league-of-nations/download?token=7cfc77d4fb0ea16e5ce8d355115fb759da87da97d93945ae8bfc5da8a4a1d024,,photo hotel La Résidence: https://notrehistoire.ch/entries/ELJYMDO5W5R
1936,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Lec Kurti,,addressChange,"Lec Kurti is Appointed Ambassador in London. He remains PD, but Thomas Luarassi is Appointed Secretary of the Permament Delegation (4, Avenue de Miremont) then moves to La Résidence",,https://archives.ungeneva.org/minorities-committees-arrangements-for-meetings-january-1936/download?token=cdfcf91603c6b3040e3ec6d8e5ee2b0e72e6cc8ed9a68142295831babd00c28e,https://archives.ungeneva.org/5b68-y5sg-3rbb/download?token=b4d4ed45a0c1b3e4c919258a77567e10237aa1b2a322c547c578df43c075b17d,photo hotel La Résidence: https://notrehistoire.ch/entries/ELJYMDO5W5R
1937,Permanent Representation,Southern Europe,,,Albania,Albanie,"11, Route de Florissant",,,Genève,Switzerland,Mehdi Frasheri,,representativeChange,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-albanais/download,https://archives.ungeneva.org/5b68-y5sg-3rbb/download?token=b4d4ed45a0c1b3e4c919258a77567e10237aa1b2a322c547c578df43c075b17d,photo hotel La Résidence: https://notrehistoire.ch/entries/ELJYMDO5W5R
1938,Permanent Representation,Southern Europe,,,Albania,Albanie,"25, rue Lefort",,,Genève,Switzerland,Mehdi Frasheri,,addressChange,Thomas Luarassi is replaced by Redjai Bega as Secretary Permanent Delegation,,https://archives.ungeneva.org/communications-with-the-government-of-albania-2/download?token=0d02165f96c2231a6a2d7ae8f3bce7d1e8d6826512f80bf2a1db396cf005ad5c,https://archives.ungeneva.org/5b68-y5sg-3rbb/download?token=b4d4ed45a0c1b3e4c919258a77567e10237aa1b2a322c547c578df43c075b17d,
1938,Permanent Representation,Southern Europe,,,Albania,Albanie,"8, Route de Malagnou",,,Genève,Switzerland,Mehdi Frasheri,,,,,https://archives.ungeneva.org/communications-avec-le-gouvernement-albanais/download,,
1939,Permanent Representation,Southern Europe,,,Albania,Albanie,"8, Route de Malagnou",,,Genève,Switzerland,Mehdi Frasheri,,,,,https://archives.ungeneva.org/communications-with-the-government-of-albania-2/download,,
1954,Permanent Representation,Southern Europe,,,Albania,Albanie,Collonges-Bellerive,,Villa Pré Feuille,Genève,Switzerland,Dilaver Pinderi,,,Permanent mission established in 1953. first address available in 1954.,,UN Archives,,
1955,Permanent Representation,Southern Europe,,,Albania,Albanie,Collonges-Bellerive,,Villa Pré Feuille,Genève,Switzerland,Jonus Mersini,,representativeChange,Non-member states,,B1955,,
1956,Permanent Representation,Southern Europe,,,Albania,Albanie,Collonges-Bellerive,,Villa Pré Feuille,Genève,Switzerland,Jonus Mersini,,closed,moves to Paris in 1957,,B1956_jun,,
1988,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,vacant,,addressChange,,,B1988_jan,,
1989,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,vacant,,,,,no,,
1990,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,vacant,,,,,B1990_mar,,
1991,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,vacant,,,,,no,,
1992,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,vacant,,,,,B1992_April,,
1993,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Zef Simoni,,representativeChange,Appointed February,,no,,
1994,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Zef Simoni,,,,,no,,
1995,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Andi Gjonej,,representativeChange,Appointed November,,B1995_April,,
1996,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Andi Gjonej,,,,,no,,
1997,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Andi Gjonej,,,,,B1997_april,,
1998,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Ksenofon Krisafi,,representativeChange,Appointed December,,no,,
1999,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Ksenofon Krisafi,,,,,no,,
2000,Permanent Representation,Southern Europe,,,Albania,Albanie,"32, Rue du Môle",,,Genève,Switzerland,Ksenofon Krisafi,,,,,B2000_april,,
1963,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"1, Rue Abraham-Gevray",,,Genève,Switzerland,Djilani Bentami,,,Appointed in October,,B1963_Jun_Dec,,
1964,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Djilani Bentami,,addressChange,,,B1964_Jun_Dec,,
1965,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Djilani Bentami,,,,,B1965_Jun_Dec,,
1966,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Djilani Bentami,,,,,B1966_Jun_Dec,,
1967,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Djilani Bentami,,,,,B1967_June_Dec,,
1968,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Djilani Bentami,,,,,B1968_June_Dec,,
1969,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Djilani Bentami,,,,,B1968_Oct_Jan1970_(Dec missing),,
1970,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,vacant,,,,,B1970_July_1971_Jan_1972_Apr,,
1971,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Raouf Boudjakdji,,representativeChange,Appointed May,,B1970_July_1971_Jan_1972_Apr,,
1972,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Raouf Boudjakdji,,,,,B1972_April_1972_Oct_1973_July_1974_jan/july,,
1973,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Raouf Boudjakdji,,,,,B1972_April_1972_Oct_1973_July_1974_jan/july,,
1974,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Raouf Boudjakdji,,,,,B1972_April_1972_Oct_1973_July_1974_jan/july,,
1975,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Raouf Boudjakdji,,,,,no,,
1976,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"8, Rue Voltaire",,,Genève,Switzerland,Raouf Boudjakdji,,,,,AG1976,,
1977,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"44, Rue de Lausanne",,,Genève,Switzerland,Raouf Boudjakdji,,addressChange,,,B1977_Aug_1978_jan_jul,,
1978,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"44, Rue de Lausanne",,,Genève,Switzerland,Raouf Boudjakdji,,,,,B1977_Aug_1978_jan_jul,,
1979,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"44, Rue de Lausanne",,,Genève,Switzerland,Anisse Salah-Bey,,representativeChange,Appointed in November,,B1979_dec,,
1980,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Anisse Salah-Bey,,addressChange,,,B1980_jan,,
1981,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Anisse Salah-Bey,,,,,no,,
1982,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Bachir Ould-Rouis,,representativeChange,Appointed September,,B1982_jan,,
1983,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Bachir Ould-Rouis,,,,,B1983_jan,,
1984,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Bachir Ould-Rouis,,,,,B1984_jan,,
1985,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Bachir Ould-Rouis,,,,,B1985_jan,,
1986,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Kemal Hacene,,representativeChange,Appointed September,,no,,
1987,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Kemal Hacene,,,,,B1987_jan,,
1988,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Kemal Hacene,,,,,no,,
1989,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Messaoud Ait-Chaalal,,representativeChange,Appointed March,,no,,
1990,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Abdelhamid Semichi,,representativeChange,Appointed September,,B1985_jan,,
1991,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Abdelhamid Semichi,,,,,no,,
1992,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Abdelhamid Semichi,,,,,no,,
1993,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Hocine Meghlaoui,,representativeChange,Appointed October,,B1993_april,,
1994,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Hocine Meghlaoui,,,,,no,,
1995,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Hocine Meghlaoui,,,,,B1995_april,,
1996,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Mohamed Salah Dembri,,representativeChange,Appointed october,,no,,
1997,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Mohamed Salah Dembri,,,,,no,,
1998,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Mohamed Salah Dembri,,,,,no,,
1999,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Mohamed Salah Dembri,,,,,no,,
2000,Permanent Representation,Northern Africa,,,Algeria (Republic of),Algérie (République de),"308, Route de Lausanne, Rives-du-Lac, Bellevue",,,Genève,Switzerland,Mohamed Salah Dembri,,,,,B2000_april,,
1999,Permanent Representation,Southern Europe,,,Andorra,Andorre,"1-3, Rue de Chantepoulet",,,Genève,Switzerland,Juli Minoves Triquell,,,,,no,,
2000,Permanent Representation,Southern Europe,,,Andorra,Andorre,"1-3, Rue de Chantepoulet",,,Genève,Switzerland,Juli Minoves Triquell,,,,,B2000_april,,
1994,Permanent Representation,Middle Africa,,,Angola,Angola,"109, Route de Chêne",,,Genève,Switzerland,Adriano A. Teixeira Parreira,,,Appointed January,,B1994_april,,
1995,Permanent Representation,Middle Africa,,,Angola,Angola,"109, Route de Chêne",,,Genève,Switzerland,Adriano A. Teixeira Parreira,,,,,B1995_april,,
1996,Permanent Representation,Middle Africa,,,Angola,Angola,"109, Route de Chêne",,,Genève,Switzerland,Adriano A. Teixeira Parreira,,,,,,,
1997,Permanent Representation,Middle Africa,,,Angola,Angola,"109, Route de Chêne",,,Genève,Switzerland,Adriano A. Teixeira Parreira,,,,,B1997_april,,
1998,Permanent Representation,Middle Africa,,,Angola,Angola,"45-47, Rue de Lausanne",,,Genève,Switzerland,vacant,,addressChange,,,,,
1999,Permanent Representation,Middle Africa,,,Angola,Angola,"45-47, Rue de Lausanne",,,Genève,Switzerland,vacant,,,,,,,
2000,Permanent Representation,Middle Africa,,,Angola,Angola,"45-47, Rue de Lausanne",,,Genève,Switzerland,João Filipe Martins,,representativeChange,,,B2000_april,,
1977,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Akram Al-Deiri,,,,,B1977_Jul,,
1978,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Akram Al-Deiri,,,,,,,
1979,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Akram Al-Deiri,,,,,B1979_jan,,
1980,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Ikbal Al Fallouji,,representativeChange,,,,,
1981,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Ikbal Al Fallouji,,,,,no,,
1982,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Ikbal Al Fallouji,,,,,B1982_jan,,
1983,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Moncef El May,,representativeChange,Appointed March,,no,,
1984,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Moncef El May,,,,,no,,
1985,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Moncef El May,,,,,B1985_jan,,
1986,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Moncef El May,,,,,B1986_jan,,
1987,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Mahmoud Triki,,representativeChange,Appointed March,,,,
1988,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Mahmoud Triki,,,,,,,
1989,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Mahmoud Triki,,,,,,,
1990,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Mahmoud Triki,,,,,B1990_mar,,
1991,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Mahmoud Triki,,,,,,,
1992,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Nehad Askalani,,representativeChange,Appointed january,,,,
1993,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Nehad Askalani,,,,,,,
1994,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Nehad Askalani,,,,,,,
1995,Permanent Representation,Cross-regional Members,,,Arab League,Ligue des Etats arabes,"9, Rue du Valais",,,Genève,Switzerland,Nehad Askalani,,,,,,,
1995,Permanent Representation,Cross-regional Members,,,Arab League,Ligue Arabe,"9, Rue du Valais",,,Genève,Switzerland,vacant,,,,,B1995_april,,
1996,Permanent Representation,Cross-regional Members,,,Arab League,Ligue Arabe,"9, Rue du Valais",,,Genève,Switzerland,vacant,,,,,no,,
1997,Permanent Representation,Cross-regional Members,,,Arab League,Ligue Arabe,"9, Rue du Valais",,,Genève,Switzerland,vacant,,,,,B1997_april,,
1998,Permanent Representation,Cross-regional Members,,,Arab League,Ligue Arabe,"9, Rue du Valais",,,Genève,Switzerland,Saad Alfarargi,,representativeChange,Appointed March,,no,,
1999,Permanent Representation,Cross-regional Members,,,Arab League,Ligue Arabe,"9, Rue du Valais",,,Genève,Switzerland,Saad Alfarargi,,,,,no,,
